,Curvature,Speed,CarPosition,Class
5096,0.00945313647389412,174,317.31842041015625,Left
5097,-0.06961236894130707,176,310.71051025390625,Left
5098,-0.061839159578084946,178,285.728759765625,Left
5099,-0.10367529094219208,179,285.90234375,Left
5100,-0.11498221009969711,180,303.7630920410156,Left
5101,-0.16440217196941376,181,287.01226806640625,Left
5102,-0.02488025650382042,182,305.7969665527344,Left
5103,-0.03666073456406593,183,303.8048400878906,Left
5104,-0.17220619320869446,184,291.46905517578125,Left
5105,0.02558968961238861,184,307.6885681152344,Straight
5106,0.009532785974442959,186,306.5603332519531,Straight
5107,-0.12087566405534744,187,289.5353088378906,Straight
5108,0.012526257894933224,188,306.5362243652344,Straight
5109,-0.03255670890212059,189,298.82525634765625,Straight
5110,-0.15750500559806824,190,296.03900146484375,Straight
5111,-0.022740859538316727,190,309.758544921875,Straight
5112,0.05368689447641373,191,316.49658203125,Straight
5113,0.12971840798854828,194,325.53936767578125,Straight
5114,-0.03729761019349098,195,319.4358215332031,Left
5115,-0.007259779144078493,196,310.2969665527344,Left
5116,-0.09728719294071198,197,315.74139404296875,Left
5117,-0.01549308467656374,197,339.1350402832031,Left
5118,-0.0397777184844017,198,312.92340087890625,Left
5119,-0.043460823595523834,200,316.2838134765625,Left
5120,-0.043460823595523834,200,316.2838134765625,Left
5121,0.06946873664855957,202,335.5768737792969,Left
5122,0.06946873664855957,202,335.5768737792969,Left
5123,0.15748971700668335,204,348.21795654296875,Left
5124,0.15748971700668335,204,348.21795654296875,Left
5125,0.025931235402822495,207,321.22955322265625,Left
5126,0.025931235402822495,207,321.22955322265625,Straight
5127,-0.03817358240485191,208,319.5701904296875,Right
5128,0.13206887245178223,209,359.9206848144531,Right
5129,-0.056182146072387695,211,305.3470764160156,Right
5130,0.016856437548995018,211,318.2312316894531,Right
5131,-0.013024493120610714,212,309.752197265625,Right
5132,-0.021011702716350555,214,302.0966491699219,Right
5133,-0.0411345399916172,215,304.6966247558594,Right
5134,-0.0232991985976696,216,297.7749328613281,Right
5135,-0.01640922762453556,217,310.9250793457031,Right
5136,-0.08236607909202576,218,309.2293395996094,Right
5137,0.003819995792582631,219,324.4722900390625,Right
5138,-0.0017004933906719089,220,318.19439697265625,Right
5139,0.06926446408033371,222,336.2014465332031,Right
5140,-0.04315618798136711,223,340.837890625,Right
5141,0.02296929992735386,224,343.51727294921875,Right
5142,0.047467537224292755,225,345.36505126953125,Right
5143,0.12710097432136536,226,339.22418212890625,Right
5144,0.12186117470264435,227,360.9625244140625,Right
5145,0.13365313410758972,227,353.4568786621094,Right
5146,0.07135330140590668,226,331.8191833496094,Right
5147,0.16652271151542664,224,345.85650634765625,Right
5148,0.13733568787574768,222,356.9937744140625,Right
5149,0.18198929727077484,220,357.51220703125,Right
5150,0.1936531364917755,218,360.6820983886719,Right
