,Curvature,Speed,CarPosition,Class
0,0.11700060218572617,000,332.9739990234375,Coast
1,0.08389532566070557,000,329.173828125,Coast
2,0.08389532566070557,000,329.173828125,Coast
3,0.08389532566070557,000,329.173828125,Coast
4,0.08389532566070557,000,329.173828125,Coast
5,0.14099296927452087,000,333.42095947265625,Coast
6,0.14099296927452087,000,333.42095947265625,Coast
7,0.14099296927452087,000,333.42095947265625,Coast
8,0.14099296927452087,000,333.42095947265625,Accelerate
9,0.1427784264087677,000,333.21990966796875,Accelerate
10,0.1427784264087677,000,333.21990966796875,Accelerate
11,0.1427784264087677,000,333.21990966796875,Accelerate
12,0.1427784264087677,000,333.21990966796875,Accelerate
13,0.1175684928894043,000,329.39984130859375,Accelerate
14,0.1175684928894043,002,329.39984130859375,Accelerate
15,0.1175684928894043,003,329.39984130859375,Accelerate
16,0.1175684928894043,005,329.39984130859375,Accelerate
17,0.1485998034477234,006,335.05645751953125,Accelerate
18,0.1485998034477234,008,335.05645751953125,Accelerate
19,0.09380993247032166,009,332.9352722167969,Accelerate
20,0.09380993247032166,011,332.9352722167969,Accelerate
21,-0.03022255003452301,013,304.2252197265625,Accelerate
22,-0.03022255003452301,014,304.2252197265625,Accelerate
23,0.05015963315963745,016,336.4400634765625,Accelerate
24,-0.003078408306464553,018,295.61138916015625,Accelerate
25,0.023914581164717674,019,331.4134521484375,Accelerate
26,0.0222028661519289,021,316.8654479980469,Accelerate
27,-0.05061362311244011,022,324.66748046875,Accelerate
28,-0.09222090244293213,022,293.0662536621094,Accelerate
29,-0.014607270248234272,023,309.7978515625,Accelerate
30,0.11713247746229172,024,353.2901611328125,Accelerate
31,0.07252790033817291,026,343.7493896484375,Accelerate
32,0.014466735534369946,026,325.004638671875,Accelerate
33,0.033145032823085785,027,339.63909912109375,Accelerate
34,0.024843215942382812,028,357.5830383300781,Accelerate
35,0.19313640892505646,029,382.3110046386719,Accelerate
36,0.04561610892415047,029,346.2211608886719,Accelerate
37,0.15746714174747467,032,382.9295654296875,Accelerate
38,0.008321760222315788,032,308.77716064453125,Accelerate
39,0.023935168981552124,033,315.91802978515625,Accelerate
40,0.12751616537570953,034,338.682373046875,Accelerate
41,0.05303550511598587,035,318.21435546875,Accelerate
42,0.02172059938311577,036,295.08001708984375,Accelerate
43,0.0989607498049736,036,318.0339660644531,Accelerate
44,0.10628487169742584,038,354.7905578613281,Accelerate
45,0.10351143032312393,039,364.3037414550781,Accelerate
46,0.16979560256004333,039,400.4012451171875,Accelerate
47,0.009859257377684116,040,333.5743713378906,Accelerate
48,0.04301437363028526,041,352.0469970703125,Accelerate
49,0.04419401288032532,042,331.59979248046875,Accelerate
50,0.03896353393793106,042,318.58892822265625,Accelerate
