,Curvature,Speed,Class
75,[0.22128248],0,Accelerate
76,[0.05794191],0,Accelerate
77,[-0.00578065],0,Accelerate
78,[-0.5952643],0,Accelerate
79,[0.03104059],0,Accelerate
80,[-0.0392336],0,Accelerate
81,[-0.8839636],0,Accelerate
82,[0.03953061],0,Accelerate
83,0,0,Accelerate
84,[-0.89255476],0,Accelerate
85,[0.5184448],0,Accelerate
86,[0.35971096],0,Accelerate
87,[0.8619901],0,Accelerate
88,[0.00617096],0,Coast
89,0,0,Coast
90,[0.65069157],0,Coast
91,0,0,Coast
92,0,0,Coast
93,[-0.73056364],0,Coast
94,[-0.47346175],0,Accelerate
95,[-0.4217797],0,Accelerate
96,[-0.5621201],0,Accelerate
97,[-0.5754035],0,Accelerate
98,[-0.9371228],0,Accelerate
99,[-0.71618587],0,Accelerate
100,[-0.6749144],0,Accelerate
101,[-0.51486015],0,Accelerate
102,[-0.9245419],0,Accelerate
103,[-0.86306477],0,Accelerate
104,[-0.83400965],0,Accelerate
105,[0.0200047],0,Accelerate
106,[0.16944413],0,Accelerate
107,[-0.9605109],0,Accelerate
108,0,0,Accelerate
109,[-0.9630137],0,Accelerate
110,[-0.9576604],0,Accelerate
111,[-0.9576604],0,Coast
112,[-0.9576604],0,Coast
113,[-0.80603933],0,Coast
114,0,0,Coast
115,0,0,Accelerate
116,0,0,Accelerate
117,0,0,Accelerate
118,0,0,Accelerate
119,0,0,Accelerate
120,0,0,Accelerate
121,0,0,Accelerate
122,0,0,Accelerate
123,0,0,Accelerate
124,0,0,Accelerate
125,0,0,Coast
126,0,0,Accelerate
127,0,0,Accelerate
128,0,0,Accelerate
129,0,0,Accelerate
130,0,0,Accelerate
131,[0.88236254],0,Accelerate
132,0,0,Accelerate
133,0,0,Accelerate
134,0,0,Accelerate
135,0,0,Accelerate
136,[0.7017451],0,Accelerate
137,[0.77759904],0,Coast
138,0,0,Coast
139,0,0,Coast
140,[0.2916947],0,Accelerate
141,[0.30976304],0,Accelerate
142,0,0,Accelerate
143,0,0,Accelerate
144,0,0,Accelerate
145,0,0,Accelerate
146,0,0,Accelerate
147,0,0,Accelerate
148,0,0,Accelerate
149,0,0,Accelerate
150,0,0,Accelerate
151,0,0,Accelerate
152,0,0,Accelerate
153,0,0,Accelerate
154,[-0.984667],0,Accelerate
155,[-0.64075416],0,Accelerate
156,0,0,Accelerate
157,0,0,Coast
158,[-0.8370633],0,Coast
159,[-0.9829674],0,Coast
160,0,0,Coast
161,0,0,Accelerate
162,0,0,Coast
163,[-0.14424264],0,Accelerate
164,[0.9774763],0,Coast
165,0,0,Accelerate
166,0,0,Accelerate
167,0,0,Accelerate
168,[0.89055115],0,Accelerate
169,[0.693732],0,Accelerate
170,0,0,Accelerate
171,0,0,Accelerate
172,[0.80101115],0,Accelerate
173,[0.67986894],0,Accelerate
174,0,0,Accelerate
175,0,0,Coast
176,0,0,Coast
177,0,0,Accelerate
178,0,0,Accelerate
179,0,0,Accelerate
180,0,0,Accelerate
181,0,0,Accelerate
182,[0.6444235],0,Accelerate
183,[0.6961675],0,Accelerate
184,0,0,Accelerate
185,0,0,Accelerate
186,0,0,Coast
187,0,0,Coast
188,0,0,Accelerate
189,0,0,Accelerate
190,0,0,Accelerate
191,0,0,Accelerate
192,0,0,Accelerate
193,0,0,Accelerate
194,0,0,Accelerate
195,[0.9586637],0,Accelerate
196,0,0,Accelerate
197,0,0,Accelerate
198,[0.97173923],0,Accelerate
199,[0.7591386],0,Accelerate
200,[-0.],0,Accelerate
201,0,0,Accelerate
202,0,0,Accelerate
203,0,0,Accelerate
204,0,0,Accelerate
205,0,0,Coast
206,0,0,Coast
207,0,0,Accelerate
208,0,0,Accelerate
209,0,0,Accelerate
210,0,0,Accelerate
211,0,0,Accelerate
212,0,0,Accelerate
213,0,0,Accelerate
214,0,0,Accelerate
215,0,0,Accelerate
216,[0.9673489],0,Accelerate
217,0,0,Accelerate
218,0,0,Accelerate
219,0,0,Accelerate
220,[0.9635292],0,Accelerate
221,0,0,Accelerate
222,0,0,Coast
223,0,0,Coast
224,[0.30198354],0,Coast
225,0,0,Accelerate
